,time,success,image_names,image_resolution
0,1.83042573928833,1,"('1.jpg', '2.jpg')",240
1,0.5774431228637695,1,"('2.jpg', '3.jpg')",240
2,0.0312952995300293,0,"('3.jpg', '4.jpg')",240
3,0.031215906143188477,0,"('3.jpg', '5.jpg')",240
4,0.0312497615814209,0,"('3.jpg', '6.jpg')",240
5,0.022143125534057617,0,"('3.jpg', '7.jpg')",240
6,0.0468752384185791,0,"('3.jpg', '8.jpg')",240
7,0.015654802322387695,0,"('3.jpg', '9.jpg')",240
8,0.04117703437805176,0,"('3.jpg', '10.jpg')",240
9,0.04003548622131348,0,"('3.jpg', '11.jpg')",240
10,0.023720741271972656,0,"('3.jpg', '12.jpg')",240
11,0.03277111053466797,0,"('3.jpg', '13.jpg')",240
12,0.0312502384185791,0,"('3.jpg', '14.jpg')",240
13,0.03121805191040039,0,"('3.jpg', '15.jpg')",240
14,0.03787088394165039,0,"('3.jpg', '16.jpg')",240
15,0.027437448501586914,0,"('3.jpg', '17.jpg')",240
16,0.03203415870666504,0,"('3.jpg', '18.jpg')",240
17,0.024732589721679688,0,"('3.jpg', '19.jpg')",240
18,0.03129267692565918,0,"('3.jpg', '20.jpg')",240
19,0.015625953674316406,0,"('3.jpg', '21.jpg')",240
20,0.2675175666809082,1,"('1.jpg', '2.jpg')",480
21,0.18055295944213867,1,"('2.jpg', '3.jpg')",480
22,0.5067572593688965,1,"('3.jpg', '4.jpg')",480
23,0.1940762996673584,1,"('4.jpg', '5.jpg')",480
24,0.5379087924957275,1,"('5.jpg', '6.jpg')",480
25,0.06253242492675781,0,"('6.jpg', '7.jpg')",480
26,0.05342841148376465,0,"('6.jpg', '8.jpg')",480
27,0.06250381469726562,0,"('6.jpg', '9.jpg')",480
28,0.05801820755004883,0,"('6.jpg', '10.jpg')",480
29,0.048874616622924805,0,"('6.jpg', '11.jpg')",480
30,0.06255078315734863,0,"('6.jpg', '12.jpg')",480
31,0.0690469741821289,0,"('6.jpg', '13.jpg')",480
32,0.06696867942810059,0,"('6.jpg', '14.jpg')",480
33,0.06304502487182617,0,"('6.jpg', '15.jpg')",480
34,0.04529094696044922,0,"('6.jpg', '16.jpg')",480
35,0.06254291534423828,0,"('6.jpg', '17.jpg')",480
36,0.05809903144836426,0,"('6.jpg', '18.jpg')",480
37,0.04779958724975586,0,"('6.jpg', '19.jpg')",480
38,0.0630805492401123,0,"('6.jpg', '20.jpg')",480
39,0.04690885543823242,0,"('6.jpg', '21.jpg')",480
40,0.3255302906036377,1,"('1.jpg', '2.jpg')",720
41,0.4558074474334717,1,"('2.jpg', '3.jpg')",720
42,0.24477720260620117,1,"('3.jpg', '4.jpg')",720
43,0.23893451690673828,1,"('4.jpg', '5.jpg')",720
44,0.4894864559173584,1,"('5.jpg', '6.jpg')",720
45,0.16931676864624023,1,"('6.jpg', '7.jpg')",720
